data_desligamento,unidade,funcao,tempo_de_casa_meses,motivo,tipo,categoria_motivo,concluiu_treinamento_inicial,observacao
2025-08-01,CD Regional,Atendente,28,Pediu demissao,voluntario,Falta de perspectiva,nao,Nao enxerga crescimento na funcao
2025-08-03,CD Regional,Auxiliar de Estoque,3,Pediu demissao,voluntario,Falta de perspectiva,nao,Nao enxerga crescimento na funcao
2025-08-04,Loja 001,Atendente,4,Dispensa sem justa causa,involuntario,Desempenho,nao,Nao atingiu o padrao da funcao
2025-08-04,Loja 003,Atendente,32,Pediu demissao,voluntario,Relacao com a lideranca,nao,Conflito com o lider direto
2025-08-08,Fabrica Unidade 1,Atendente,3,Abandono de emprego,voluntario,Nao declarado,sim,Parou de comparecer
2025-08-08,Loja 003,Auxiliar de Producao,31,Pediu demissao,voluntario,Falta de perspectiva,sim,Nao enxerga crescimento na funcao
2025-08-09,Loja 001,Atendente,3,Fim de experiencia,involuntario,Nao efetivado,sim,Nao concluiu o treinamento inicial
2025-08-13,Loja 003,Auxiliar de Estoque,36,Dispensa sem justa causa,involuntario,Absenteismo,sim,Faltas e atrasos recorrentes
2025-08-14,Loja 002,Atendente,12,Pediu demissao,voluntario,Falta de perspectiva,sim,Nao enxerga crescimento na funcao
2025-08-19,Fabrica Unidade 1,Auxiliar de Estoque,6,Pediu demissao,voluntario,Falta de perspectiva,sim,Nao enxerga crescimento na funcao
2025-08-19,Loja 003,Atendente,2,Pediu demissao,voluntario,Falta de perspectiva,nao,Nao enxerga crescimento na funcao
2025-08-23,Loja 002,Auxiliar de Producao,1,Pediu demissao,voluntario,Ritmo de trabalho,nao,Pressao no horario de pico
2025-08-24,CD Regional,Auxiliar de Producao,2,Fim de experiencia,involuntario,Nao efetivado,nao,Nao concluiu o treinamento inicial
2025-08-24,Loja 001,Auxiliar de Estoque,2,Fim de experiencia,involuntario,Nao efetivado,nao,Nao concluiu o treinamento inicial
