mes_referencia,unidade,tipo_unidade,headcount,admissoes,desligamentos,turnover_mensal_pct
2025-08,Loja 001,loja,38,5,2,5.3
2025-08,Loja 002,loja,26,0,1,3.8
2025-08,Loja 003,loja,44,3,4,9.1
2025-08,CD Regional,distribuicao,62,3,2,3.2
2025-08,Fabrica Unidade 1,industria,145,3,4,2.8
2025-09,Loja 001,loja,38,6,3,7.9
2025-09,Loja 002,loja,26,0,2,7.7
2025-09,Loja 003,loja,44,7,4,9.1
2025-09,CD Regional,distribuicao,62,0,2,3.2
2025-09,Fabrica Unidade 1,industria,145,6,4,2.8
2025-10,Loja 001,loja,38,2,3,7.9
2025-10,Loja 002,loja,26,3,1,3.8
2025-10,Loja 003,loja,44,8,5,11.4
2025-10,CD Regional,distribuicao,62,0,2,3.2
2025-10,Fabrica Unidade 1,industria,145,6,3,2.1
2025-11,Loja 001,loja,38,4,2,5.3
2025-11,Loja 002,loja,26,3,1,3.8
2025-11,Loja 003,loja,44,5,6,13.6
2025-11,CD Regional,distribuicao,62,4,2,3.2
2025-11,Fabrica Unidade 1,industria,145,6,5,3.4
2025-12,Loja 001,loja,38,2,3,7.9
2025-12,Loja 002,loja,26,1,2,7.7
2025-12,Loja 003,loja,44,8,6,13.6
2025-12,CD Regional,distribuicao,62,4,2,3.2
2025-12,Fabrica Unidade 1,industria,145,8,5,3.4
2026-01,Loja 001,loja,38,4,2,5.3
2026-01,Loja 002,loja,26,0,1,3.8
2026-01,Loja 003,loja,44,4,5,11.4
2026-01,CD Regional,distribuicao,62,4,2,3.2
2026-01,Fabrica Unidade 1,industria,145,3,4,2.8
2026-02,Loja 001,loja,38,5,3,7.9
2026-02,Loja 002,loja,26,3,1,3.8
2026-02,Loja 003,loja,44,9,7,15.9
2026-02,CD Regional,distribuicao,62,4,2,3.2
2026-02,Fabrica Unidade 1,industria,145,5,4,2.8
2026-03,Loja 001,loja,38,1,2,5.3
2026-03,Loja 002,loja,26,1,1,3.8
2026-03,Loja 003,loja,44,8,6,13.6
2026-03,CD Regional,distribuicao,62,4,2,3.2
2026-03,Fabrica Unidade 1,industria,145,2,3,2.1
2026-04,Loja 001,loja,38,5,3,7.9
2026-04,Loja 002,loja,26,4,1,3.8
2026-04,Loja 003,loja,44,9,7,15.9
2026-04,CD Regional,distribuicao,62,3,2,3.2
2026-04,Fabrica Unidade 1,industria,145,4,3,2.1
2026-05,Loja 001,loja,38,0,2,5.3
2026-05,Loja 002,loja,26,2,2,7.7
2026-05,Loja 003,loja,44,6,7,15.9
2026-05,CD Regional,distribuicao,62,5,2,3.2
2026-05,Fabrica Unidade 1,industria,145,3,3,2.1
2026-06,Loja 001,loja,38,1,2,5.3
2026-06,Loja 002,loja,26,2,1,3.8
2026-06,Loja 003,loja,44,9,7,15.9
2026-06,CD Regional,distribuicao,62,2,2,3.2
2026-06,Fabrica Unidade 1,industria,145,2,3,2.1
2026-07,Loja 001,loja,38,2,2,5.3
2026-07,Loja 002,loja,26,3,1,3.8
2026-07,Loja 003,loja,44,7,5,11.4
2026-07,CD Regional,distribuicao,62,0,1,1.6
2026-07,Fabrica Unidade 1,industria,145,8,5,3.4
